adjective,gender,sentiment,type
repulsive,neither,neg,character
unpopular,neither,neg,character
boring,neither,neg,character
diplomatic,neither,pos,character
gentle,F,pos,character
lucky,neither,pos,character
rich,neither,pos,character
unprofessional,neither,neg,character
brave,M,pos,character
dirty,neither,neg,character
gifted,neither,pos,character
mad,neither,neg,character
robust,neither,pos,character
unusual,neither,neg,character
brawny,M,pos,character
dishonest,neither,neg,character
glorious,M,pos,character
magnificent,neither,pos,character
rude,neither,neg,character
uptight,F,neg,character
breakable,neither,neg,character
divine,F,pos,character
good,neither,pos,character
marvelous,neither,pos,character
rugged,M,pos,character
vicious,M,neg,character
bright,M,pos,character
doubtful,neither,neg,character
graceful,F,pos,character
mellow,neither,pos,character
sane,neither,pos,character
victorious,M,pos,character
brittle,F,neg,character
dull,neither,neg,character
great,neither,pos,character
mighty,M,pos,character
scared,neither,pos,character
vulnerable,F,neg,character
busy,neither,neg,character
dumb,F,neg,character
gregarious,M,pos,character
mild,F,pos,character
scary,neither,neg,character
wayward,neither,neg,character
calm,neither,pos,character
nervous,neither,pos,character
grotesque,neither,neg,character
modern,neither,pos,character
selfish,neither,neg,character
weak,neither,neg,character
careful,neither,pos,character
dynamic,neither,pos,character
hard-working,M,pos,character
modest,neither,pos,character
sensible,neither,pos,character
weird,neither,neg,character
cautious,neither,pos,character
eager,neither,pos,character
healthy,neither,pos,character
moody,F,neg,character
shallow,F,neg,character
wild,neither,neg,character
charming,neither,pos,character
educated,neither,pos,character
helpful,neither,pos,character
mysterious,neither,pos,character
shatterable,neither,neg,character
wise,neither,pos,character
cheerful,neither,pos,character
elderly,neither,neg,character
helpless,F,neg,character
negative,neither,neg,character
shrill,F,neg,character
witty,neither,pos,character
classy,neither,pos,character
elegant,F,pos,character
heterosexual,neither,neutral,character
nervous,neither,neg,character
shy,neither,neg,character
wonderful,neither,pos,character
clean,neither,pos,character
eloquent,neither,pos,character
honest,neither,pos,character
neurotic,neither,neg,character
significant,neither,pos,character
worried,neither,neg,character
clever,neither,pos,character
embarrassing,neither,neg,character
horrible,neither,neg,character
nice,neither,pos,character
silly,F,neg,character
young,neither,pos,character
clumsy,neither,neg,character
enchanting,F,pos,character
hysterical,F,neg,character
nonsensical,neither,neg,character
sincere,neither,pos,character
youngish,neither,pos,character
coarse,neither,neg,character
encouraging,neither,pos,character
ignorant,neither,neg,character
normal,neither,pos,character
smart,M,pos,character
zealous,neither,pos,character
common,neither,neg,character
energetic,neither,pos,character
impatient,neither,neg,character
obedient,F,pos,character
soft,F,pos,character
compelling,neither,pos,character
enthusiastic,neither,pos,character
imprecise,neither,neg,character
obnoxious,neither,neg,character
stalwart,neither,neg,character
attractive,F,pos,appearance
curvy,F,pos,appearance
handsome,M,pos,appearance
neat,neither,pos,appearance
sexy,F,pos,appearance
tall,neither,pos,appearance
bald,M,neg,appearance
cute,F,pos,appearance
heavy,neither,neg,appearance
obese,neither,neg,appearance
shapely,F,pos,appearance
tan,neither,pos,appearance
beautiful,F,pos,appearance
huge,neither,neutral,appearance
overweight,neither,neg,appearance
short,neither,neg,appearance
thick,neither,pos,appearance
big,neither,neg,appearance
fat,neither,neg,appearance
immense,neither,neg,appearance
painted,neither,neutral,appearance
skinny,neither,pos,appearance
thin,neither,pos,appearance
feminine,F,pos,appearance
lanky,neither,neg,appearance
plain,F,neg,appearance
slender,F,pos,appearance
tiny,neither,neutral,appearance
fit,neither,pos,appearance
large,neither,neutral,appearance
polished,neither,pos,appearance
slim,F,pos,appearance
gigantic,neither,neg,appearance
little,neither,neutral,appearance
presentable,neither,pos,appearance
small,neither,neutral,appearance
tremendous,neither,pos,appearance
broad,M,pos,appearance
gorgeous,F,pos,appearance
loose,F,neg,appearance
pretty,F,pos,appearance
spotted,neither,neg,appearance
ugly,neither,neg,appearance
bumpy,neither,neg,appearance
grand,neither,pos,appearance
masculine,M,pos,appearance
redheaded,neither,neutral,appearance
stooped,neither,neg,appearance
chubby,neither,neg,appearance
greasy,neither,neg,appearance
muscular,M,pos,appearance
repugnant,neither,neg,appearance
stunning,F,pos,appearance
colossal,neither,pos,appearance
hairy,neither,neg,appearance
nasty,neither,neg,appearance
rough,neither,neg,appearance
sprightly,F,pos,character
affectionate,F,pos,character
kindly,F,pos,character
beloved,F,pos,character
enchanted,F,pos,character
virtuous,F,pos,character
beauteous,F,pos,appearance
chaste,F,pos,character
romantic,F,pos,character
fertile,F,pos,character
fussy,F,neg,character
nagging,F,neg,character
rattlebrained,F,neg,character
haughty,F,neg,character
whiny,F,neg,character
dependent,F,neg,character
sullen,F,neg,character
unmarried,F,neg,character
prudish,F,neg,character
fickle,F,neg,character
infected,F,neg,character
widowed,F,neg,character
damned,F,neg,character
frivolous,F,neg,character
sassy,F,neg,character
perky,F,pos,character
vivacious,F,pos,character
saucy,F,pos,character
bubbly,F,pos,character
alluring,F,pos,character
married,F,pos,character
grizzled,M,neg,appearance
jovial,M,pos,character
suave,M,pos,character
debonair,M,pos,character
wiry,M,neg,character
rascally,M,neg,character
shifty,M,neg,character
eminent,M,pos,character
